DATE,GS30
1977-02-01,7.75
1977-03-01,7.80
1977-04-01,7.73
1977-05-01,7.80
1977-06-01,7.64
1977-07-01,7.64
1977-08-01,7.68
1977-09-01,7.64
1977-10-01,7.77
1977-11-01,7.85
1977-12-01,7.94
1978-01-01,8.18
1978-02-01,8.25
1978-03-01,8.23
1978-04-01,8.34
1978-05-01,8.43
1978-06-01,8.50
1978-07-01,8.65
1978-08-01,8.47
1978-09-01,8.47
1978-10-01,8.67
1978-11-01,8.75
1978-12-01,8.88
1979-01-01,8.94
1979-02-01,9.00
1979-03-01,9.03
1979-04-01,9.08
1979-05-01,9.19
1979-06-01,8.92
1979-07-01,8.93
1979-08-01,8.98
1979-09-01,9.17
1979-10-01,9.85
1979-11-01,10.30
1979-12-01,10.12
1980-01-01,10.60
1980-02-01,12.13
1980-03-01,12.34
1980-04-01,11.40
1980-05-01,10.36
1980-06-01,9.81
1980-07-01,10.24
1980-08-01,11.00
1980-09-01,11.34
1980-10-01,11.59
1980-11-01,12.37
1980-12-01,12.40
1981-01-01,12.14
1981-02-01,12.80
1981-03-01,12.69
1981-04-01,13.20
1981-05-01,13.60
1981-06-01,12.96
1981-07-01,13.59
1981-08-01,14.17
1981-09-01,14.67
1981-10-01,14.68
1981-11-01,13.35
1981-12-01,13.45
1982-01-01,14.22
1982-02-01,14.22
1982-03-01,13.53
1982-04-01,13.37
1982-05-01,13.24
1982-06-01,13.92
1982-07-01,13.55
1982-08-01,12.77
1982-09-01,12.07
1982-10-01,11.17
1982-11-01,10.54
1982-12-01,10.54
1983-01-01,10.63
1983-02-01,10.88
1983-03-01,10.63
1983-04-01,10.48
1983-05-01,10.53
1983-06-01,10.93
1983-07-01,11.40
1983-08-01,11.82
1983-09-01,11.63
1983-10-01,11.58
1983-11-01,11.75
1983-12-01,11.88
1984-01-01,11.75
1984-02-01,11.95
1984-03-01,12.38
1984-04-01,12.65
1984-05-01,13.43
1984-06-01,13.44
1984-07-01,13.21
1984-08-01,12.54
1984-09-01,12.29
1984-10-01,11.98
1984-11-01,11.56
1984-12-01,11.52
1985-01-01,11.45
1985-02-01,11.47
1985-03-01,11.81
1985-04-01,11.47
1985-05-01,11.05
1985-06-01,10.45
1985-07-01,10.50
1985-08-01,10.56
1985-09-01,10.61
1985-10-01,10.50
1985-11-01,10.06
1985-12-01,9.54
1986-01-01,9.40
1986-02-01,8.93
1986-03-01,7.96
1986-04-01,7.39
1986-05-01,7.52
1986-06-01,7.57
1986-07-01,7.27
1986-08-01,7.33
1986-09-01,7.62
1986-10-01,7.70
1986-11-01,7.52
1986-12-01,7.37
1987-01-01,7.39
1987-02-01,7.54
1987-03-01,7.55
1987-04-01,8.25
1987-05-01,8.78
1987-06-01,8.57
1987-07-01,8.64
1987-08-01,8.97
1987-09-01,9.59
1987-10-01,9.61
1987-11-01,8.95
1987-12-01,9.12
1988-01-01,8.83
1988-02-01,8.43
1988-03-01,8.63
1988-04-01,8.95
1988-05-01,9.23
1988-06-01,9.00
1988-07-01,9.14
1988-08-01,9.32
1988-09-01,9.06
1988-10-01,8.89
1988-11-01,9.02
1988-12-01,9.01
1989-01-01,8.93
1989-02-01,9.01
1989-03-01,9.17
1989-04-01,9.03
1989-05-01,8.83
1989-06-01,8.27
1989-07-01,8.08
1989-08-01,8.12
1989-09-01,8.15
1989-10-01,8.00
1989-11-01,7.90
1989-12-01,7.90
1990-01-01,8.26
1990-02-01,8.50
1990-03-01,8.56
1990-04-01,8.76
1990-05-01,8.73
1990-06-01,8.46
1990-07-01,8.50
1990-08-01,8.86
1990-09-01,9.03
1990-10-01,8.86
1990-11-01,8.54
1990-12-01,8.24
1991-01-01,8.27
1991-02-01,8.03
1991-03-01,8.29
1991-04-01,8.21
1991-05-01,8.27
1991-06-01,8.47
1991-07-01,8.45
1991-08-01,8.14
1991-09-01,7.95
1991-10-01,7.93
1991-11-01,7.92
1991-12-01,7.70
1992-01-01,7.58
1992-02-01,7.85
1992-03-01,7.97
1992-04-01,7.96
1992-05-01,7.89
1992-06-01,7.84
1992-07-01,7.60
1992-08-01,7.39
1992-09-01,7.34
1992-10-01,7.53
1992-11-01,7.61
1992-12-01,7.44
1993-01-01,7.34
1993-02-01,7.09
1993-03-01,6.82
1993-04-01,6.85
1993-05-01,6.92
1993-06-01,6.81
1993-07-01,6.63
1993-08-01,6.32
1993-09-01,6.00
1993-10-01,5.94
1993-11-01,6.21
1993-12-01,6.25
1994-01-01,6.29
1994-02-01,6.49
1994-03-01,6.91
1994-04-01,7.27
1994-05-01,7.41
1994-06-01,7.40
1994-07-01,7.58
1994-08-01,7.49
1994-09-01,7.71
1994-10-01,7.94
1994-11-01,8.08
1994-12-01,7.87
1995-01-01,7.85
1995-02-01,7.61
1995-03-01,7.45
1995-04-01,7.36
1995-05-01,6.95
1995-06-01,6.57
1995-07-01,6.72
1995-08-01,6.86
1995-09-01,6.55
1995-10-01,6.37
1995-11-01,6.26
1995-12-01,6.06
1996-01-01,6.05
1996-02-01,6.24
1996-03-01,6.60
1996-04-01,6.79
1996-05-01,6.93
1996-06-01,7.06
1996-07-01,7.03
1996-08-01,6.84
1996-09-01,7.03
1996-10-01,6.81
1996-11-01,6.48
1996-12-01,6.55
1997-01-01,6.83
1997-02-01,6.69
1997-03-01,6.93
1997-04-01,7.09
1997-05-01,6.94
1997-06-01,6.77
1997-07-01,6.51
1997-08-01,6.58
1997-09-01,6.50
1997-10-01,6.33
1997-11-01,6.11
1997-12-01,5.99
1998-01-01,5.81
1998-02-01,5.89
1998-03-01,5.95
1998-04-01,5.92
1998-05-01,5.93
1998-06-01,5.70
1998-07-01,5.68
1998-08-01,5.54
1998-09-01,5.20
1998-10-01,5.01
1998-11-01,5.25
1998-12-01,5.06
1999-01-01,5.16
1999-02-01,5.37
1999-03-01,5.58
1999-04-01,5.55
1999-05-01,5.81
1999-06-01,6.04
1999-07-01,5.98
1999-08-01,6.07
1999-09-01,6.07
1999-10-01,6.26
1999-11-01,6.15
1999-12-01,6.35
2000-01-01,6.63
2000-02-01,6.23
2000-03-01,6.05
2000-04-01,5.85
2000-05-01,6.15
2000-06-01,5.93
2000-07-01,5.85
2000-08-01,5.72
2000-09-01,5.83
2000-10-01,5.80
2000-11-01,5.78
2000-12-01,5.49
2001-01-01,5.54
2001-02-01,5.45
2001-03-01,5.34
2001-04-01,5.65
2001-05-01,5.78
2001-06-01,5.67
2001-07-01,5.61
2001-08-01,5.48
2001-09-01,5.48
2001-10-01,5.32
2001-11-01,5.12
2001-12-01,5.48
2002-01-01,5.45
2002-02-01,5.45
2002-03-01,5.81
2002-04-01,5.79
2002-05-01,5.76
2002-06-01,5.68
2002-07-01,5.59
2002-08-01,5.28
2002-09-01,4.96
2002-10-01,5.18
2002-11-01,5.18
2002-12-01,5.13
2003-01-01,5.14
2003-02-01,5.02
2003-03-01,5.03
2003-04-01,5.13
2003-05-01,4.76
2003-06-01,4.62
2003-07-01,5.13
2003-08-01,5.45
2003-09-01,5.28
2003-10-01,5.30
2003-11-01,5.25
2003-12-01,5.21
2004-01-01,5.13
2004-02-01,5.08
2004-03-01,4.90
2004-04-01,5.28
2004-05-01,5.51
2004-06-01,5.48
2004-07-01,5.31
2004-08-01,5.15
2004-09-01,4.98
2004-10-01,4.94
2004-11-01,4.95
2004-12-01,4.91
2005-01-01,4.77
2005-02-01,4.56
2005-03-01,4.77
2005-04-01,4.65
2005-05-01,4.49
2005-06-01,4.28
2005-07-01,4.38
2005-08-01,4.44
2005-09-01,4.45
2005-10-01,4.64
2005-11-01,4.70
2005-12-01,4.62
2006-01-01,4.57
2006-02-01,4.57
2006-03-01,4.73
2006-04-01,5.06
2006-05-01,5.20
2006-06-01,5.15
2006-07-01,5.13
2006-08-01,5.00
2006-09-01,4.85
2006-10-01,4.85
2006-11-01,4.69
2006-12-01,4.68
2007-01-01,4.85
2007-02-01,4.82
2007-03-01,4.72
2007-04-01,4.87
2007-05-01,4.90
2007-06-01,5.20
2007-07-01,5.11
2007-08-01,4.93
2007-09-01,4.79
2007-10-01,4.77
2007-11-01,4.52
2007-12-01,4.53
2008-01-01,4.33
2008-02-01,4.52
2008-03-01,4.39
2008-04-01,4.44
2008-05-01,4.60
2008-06-01,4.69
2008-07-01,4.57
2008-08-01,4.50
2008-09-01,4.27
2008-10-01,4.17
2008-11-01,4.00
2008-12-01,2.87
2009-01-01,3.13
2009-02-01,3.59
2009-03-01,3.64
2009-04-01,3.76
2009-05-01,4.23
2009-06-01,4.52
2009-07-01,4.41
2009-08-01,4.37
2009-09-01,4.19
2009-10-01,4.19
2009-11-01,4.31
2009-12-01,4.49
2010-01-01,4.60
2010-02-01,4.62
2010-03-01,4.64
2010-04-01,4.69
2010-05-01,4.29
2010-06-01,4.13
2010-07-01,3.99
2010-08-01,3.80
2010-09-01,3.77
2010-10-01,3.87
2010-11-01,4.19
2010-12-01,4.42
2011-01-01,4.52
2011-02-01,4.65
2011-03-01,4.51
2011-04-01,4.50
2011-05-01,4.29
2011-06-01,4.23
2011-07-01,4.27
2011-08-01,3.65
2011-09-01,3.18
2011-10-01,3.13
2011-11-01,3.02
2011-12-01,2.98
2012-01-01,3.03
2012-02-01,3.11
2012-03-01,3.28
2012-04-01,3.18
2012-05-01,2.93
2012-06-01,2.70
2012-07-01,2.59
2012-08-01,2.77
2012-09-01,2.88
2012-10-01,2.90
2012-11-01,2.80
2012-12-01,2.88
2013-01-01,3.08
2013-02-01,3.17
2013-03-01,3.16
2013-04-01,2.93
2013-05-01,3.11
2013-06-01,3.40
2013-07-01,3.61
2013-08-01,3.76
2013-09-01,3.79
2013-10-01,3.68
2013-11-01,3.80
2013-12-01,3.89
2014-01-01,3.77
2014-02-01,3.66
2014-03-01,3.62
2014-04-01,3.52
2014-05-01,3.39
2014-06-01,3.42
2014-07-01,3.33
2014-08-01,3.20
2014-09-01,3.26
2014-10-01,3.04
2014-11-01,3.04
2014-12-01,2.83
2015-01-01,2.46
2015-02-01,2.57
2015-03-01,2.63
2015-04-01,2.59
2015-05-01,2.96
2015-06-01,3.11
2015-07-01,3.07
2015-08-01,2.86
2015-09-01,2.95
2015-10-01,2.89
2015-11-01,3.03
2015-12-01,2.97
2016-01-01,2.86
2016-02-01,2.62
2016-03-01,2.68
2016-04-01,2.62
2016-05-01,2.63
2016-06-01,2.45
2016-07-01,2.23
2016-08-01,2.26
2016-09-01,2.35
2016-10-01,2.50
2016-11-01,2.86
2016-12-01,3.11
2017-01-01,3.02
2017-02-01,3.03
2017-03-01,3.08
2017-04-01,2.94
2017-05-01,2.96
2017-06-01,2.80
2017-07-01,2.88
2017-08-01,2.80
2017-09-01,2.78
2017-10-01,2.88
2017-11-01,2.80
2017-12-01,2.77
2018-01-01,2.88
2018-02-01,3.13
2018-03-01,3.09
2018-04-01,3.07
2018-05-01,3.13
2018-06-01,3.05
2018-07-01,3.01
2018-08-01,3.04
2018-09-01,3.15
2018-10-01,3.34
2018-11-01,3.36
2018-12-01,3.10
2019-01-01,3.04
2019-02-01,3.02
2019-03-01,2.98
2019-04-01,2.94
2019-05-01,2.82
2019-06-01,2.57
2019-07-01,2.57
2019-08-01,2.12
2019-09-01,2.16
2019-10-01,2.19
2019-11-01,2.28
2019-12-01,2.30
2020-01-01,2.22
2020-02-01,1.97
2020-03-01,1.46
2020-04-01,1.27
2020-05-01,1.38
2020-06-01,1.49
2020-07-01,1.31
2020-08-01,1.36
2020-09-01,1.42
2020-10-01,1.57
2020-11-01,1.62
2020-12-01,1.67
2021-01-01,1.82
2021-02-01,2.04
2021-03-01,2.34
2021-04-01,2.30
2021-05-01,2.32
2021-06-01,2.16
2021-07-01,1.94
2021-08-01,1.92
2021-09-01,1.94
2021-10-01,2.06
2021-11-01,1.94
2021-12-01,1.85
2022-01-01,2.10
2022-02-01,2.25
2022-03-01,2.41
2022-04-01,2.81
2022-05-01,3.07
2022-06-01,3.25
2022-07-01,3.10
2022-08-01,3.13
2022-09-01,3.56
2022-10-01,4.04
2022-11-01,4.00
2022-12-01,3.66
2023-01-01,3.66
2023-02-01,3.80
2023-03-01,3.77
2023-04-01,3.68
2023-05-01,3.86
2023-06-01,3.87
2023-07-01,3.96
2023-08-01,4.28
2023-09-01,4.47
2023-10-01,4.95
2023-11-01,4.66
2023-12-01,4.14
2024-01-01,4.26
2024-02-01,4.38
2024-03-01,4.36
2024-04-01,4.66
